strategy,sharpe_ratio,max_drawdown,annual_return,volatility
equal_weight,0.07745715904819159,-0.2632092345542574,-0.04945607259797913,0.4073922123525499
mean_variance,-0.8902298694811877,-0.36281852266999937,-0.3855382829098398,0.43864704778860836
max_sharpe,-1.655425091341062,-0.4926006207013045,-0.6636057997573286,0.5598080523439782
